NIS5,n_mr,n_tot_beds,bed_over_mr
31033,1,108,108
24109,1,347,347
13040,4,268,67
38025,3,241,80.3333333333333
23088,3,192,64
33041,1,25,25
73109,1,38,38
21007,1,66,66
13046,1,44,44
NA,1,63,63
42023,1,41,41
44073,2,101,50.5
34040,3,256,85.3333333333333
73098,1,56,56
23102,1,64,64
33029,3,189,63
13049,2,88,44
42025,3,165,55
34041,4,265,66.25
23103,1,41,41
42026,2,70,35
37017,1,46,46
11050,2,112,56
12040,2,140,70
37018,2,142,71
11052,3,166,55.3333333333333
45061,1,46,46
11053,2,81,40.5
11054,2,94,47
23094,3,162,54
31040,1,39,39
42028,2,150,75
43018,1,46,46
23096,3,152,50.6666666666667
NA,1,65,65
11055,3,235,78.3333333333333
NA,1,115,115
71066,2,125,62.5
33037,2,124,62
41081,3,227,75.6666666666667
24130,3,135,45
44081,1,59,59
71067,1,25,25
45065,1,65,65
34042,2,175,87.5
11056,2,206,103
NA,237,0,0
