CD_REFNIS,CD_SECT,MS_PROP
23016,P,0.0033545402
23016,S,0.1090803933
23016,T,0.5418739156
23016,Z,0.345691151
23023,P,0.0144113337
23023,S,0.1455788959
23023,T,0.4782608696
23023,Z,0.3617489008
23024,P,0.0248375116
23024,S,0.1385793872
23024,T,0.4814298979
23024,Z,0.3551532033
23025,P,0.0038022814
23025,S,0.1141339976
23025,T,0.5777500983
23025,Z,0.3043136227
23027,P,0.003483887
23027,S,0.1333831031
23027,T,0.5334079881
23027,Z,0.3297250218
23032,P,0.0333555704
23032,S,0.1370913943
23032,T,0.4926617745
23032,Z,0.3368912608
23033,P,0.004108651
23033,S,0.1088792513
23033,T,0.5539831089
23033,Z,0.3330289888
23038,P,0.0190227527
23038,S,0.1240208877
23038,T,0.546997389
23038,Z,0.3099589705
23039,P,0.0104626831
23039,S,0.199255987
23039,T,0.5047663334
23039,Z,0.2855149965
23044,P,0.003944066
23044,S,0.1482610255
23044,T,0.4723915382
23044,Z,0.3754033704
23045,P,0.0182786588
23045,S,0.1872654642
23045,T,0.506718315
23045,Z,0.287737562
23047,P,0.0012195122
23047,S,0.1113240418
23047,T,0.5952961672
23047,Z,0.2921602787
23050,P,0.009110021
23050,S,0.1194814296
23050,T,0.5592151367
23050,Z,0.3121934128
23052,P,0.0176857691
23052,S,0.1277762545
23052,T,0.5227584316
23052,Z,0.3317795448
23060,P,0.010301353
23060,S,0.1442189422
23060,T,0.4941574416
23060,Z,0.3513222632
23062,P,0.0081119448
23062,S,0.1055566822
23062,T,0.5583046035
23062,Z,0.3280267694
23064,P,0.0468972051
23064,S,0.1463761251
23064,T,0.5030791094
23064,Z,0.3036475604
23077,P,0.0065663273
23077,S,0.1414342629
23077,T,0.5307658256
23077,Z,0.3212335842
23081,P,0.0100671141
23081,S,0.1180089485
23081,T,0.5745712155
23081,Z,0.2973527218
23086,P,0.0042826552
23086,S,0.1340471092
23086,T,0.510206995
23086,Z,0.3514632405
23088,P,0.0013552531
23088,S,0.1114842967
23088,T,0.5839962289
23088,Z,0.3031642213
23094,P,0.0018758793
23094,S,0.0859778021
23094,T,0.5973894013
23094,Z,0.3147569173
23096,P,0.0058217217
23096,S,0.1403893873
23096,T,0.5406566139
23096,Z,0.3131322772
23097,P,0.0094759234
23097,S,0.1568362019
23097,T,0.4935215626
23097,Z,0.3401663121
23098,S,0.1259960159
23098,T,0.5403386454
23098,Z,0.3336653386
23099,P,0.0012972973
23099,S,0.0761081081
23099,T,0.5357837838
23099,Z,0.3868108108
23100,P,0.0015568241
23100,S,0.0778412039
23100,T,0.5277633627
23100,Z,0.3928386092
23101,P,0.0026136199
23101,S,0.0971395383
23101,T,0.5808044141
23101,Z,0.3194424278
23102,P,0.0020863425
23102,S,0.089231263
23102,T,0.5759910127
23102,Z,0.3326913818
23103,P,0.0018352365
23103,S,0.0780995106
23103,T,0.535685155
23103,Z,0.3843800979
23104,P,0.0167232186
23104,S,0.12190984
23104,T,0.5063015027
23104,Z,0.3550654387
23105,P,0.0041522491
23105,S,0.1508650519
23105,T,0.4932525952
23105,Z,0.3517301038
24001,P,0.0079322295
24001,S,0.1859838275
24001,T,0.4298806315
24001,Z,0.3762033115
24007,P,0.0047444468
24007,S,0.2292430451
24007,T,0.4248436489
24007,Z,0.3411688592
24008,P,0.0376749193
24008,S,0.2145676355
24008,T,0.4065303193
24008,Z,0.3412271259
24009,P,0.0091659028
24009,S,0.1065536205
24009,T,0.4945004583
24009,Z,0.3897800183
24011,P,0.0111612444
24011,S,0.1004511992
24011,T,0.469484683
24011,Z,0.4189028734
24014,P,0.0052414826
24014,S,0.1555597155
24014,T,0.5353800075
24014,Z,0.3038187945
24016,P,0.0201212789
24016,S,0.1237596472
24016,T,0.4581036384
24016,Z,0.3980154355
24020,P,0.0088276136
24020,S,0.1933148185
24020,T,0.4284864114
24020,Z,0.3693711565
24028,P,0.0481794777
24028,S,0.241265171
24028,T,0.3997793306
24028,Z,0.3107760206
24033,P,0.0078268877
24033,S,0.1594536525
24033,T,0.4837323511
24033,Z,0.3489871087
24038,P,0.0052971713
24038,S,0.107638521
24038,T,0.4867041
24038,Z,0.4003602076
24041,P,0.0239714934
24041,S,0.1383219955
24041,T,0.4340783933
24041,Z,0.4036281179
24043,P,0.0184601531
24043,S,0.1456551103
24043,T,0.4360648357
24043,Z,0.3998199009
24045,P,0.0107526882
24045,S,0.1220196353
24045,T,0.53085554
24045,Z,0.3363721365
24048,P,0.0044826968
24048,S,0.1581495428
24048,T,0.5302133764
24048,Z,0.3071543841
24054,P,0.0464404894
24054,S,0.2152391546
24054,T,0.3895995551
24054,Z,0.3487208009
24055,P,0.0073641146
24055,S,0.1091759205
24055,T,0.5599064874
24055,Z,0.3235534775
24059,P,0.0139332366
24059,S,0.1374455733
24059,T,0.4521044993
24059,Z,0.3965166909
24062,P,0.0020421576
24062,S,0.0812168443
24062,T,0.4717853622
24062,Z,0.4449556359
24066,P,0.0111958462
24066,S,0.1200713938
24066,T,0.4552977446
24066,Z,0.4134350154
24086,P,0.0030096308
24086,S,0.0977126806
24086,T,0.4837479936
24086,Z,0.415529695
24094,P,0.0076891391
24094,S,0.1503501304
24094,T,0.4485788823
24094,Z,0.3933818481
24104,P,0.0067130781
24104,S,0.0839134759
24104,T,0.5551964197
24104,Z,0.3541770264
24107,P,0.0153813135
24107,S,0.1518099871
24107,T,0.4411933038
24107,Z,0.3916153956
24109,P,0.0053086607
24109,S,0.204307599
24109,T,0.4758076748
24109,Z,0.3145760655
24130,P,0.0331373597
24130,S,0.1993586317
24130,T,0.4136825227
24130,Z,0.3538214858
24133,P,0.0306990881
24133,S,0.1914893617
24133,T,0.4118541033
24133,Z,0.3659574468
24134,P,0.0063342047
24134,S,0.2245123668
24134,T,0.4312286346
24134,Z,0.3379247939
24135,P,0.0162324649
24135,S,0.1691382766
24135,T,0.4398797595
24135,Z,0.374749499
24137,P,0.0299473897
24137,S,0.1756373938
24137,T,0.3909348442
24137,Z,0.4034803723
25005,P,0.0209530247
25005,S,0.1307874282
25005,T,0.4920581277
25005,Z,0.3562014194
25014,P,0.0048630348
25014,S,0.1179439828
25014,T,0.5080947984
25014,Z,0.3690981841
25015,P,0.0067194624
25015,S,0.1768658507
25015,T,0.4845212383
25015,Z,0.3318934485
25018,P,0.013732834
25018,S,0.1321265085
25018,T,0.5187265918
25018,Z,0.3354140658
25023,P,0.0042422814
25023,S,0.1491868961
25023,T,0.4360122555
25023,Z,0.4105585671
25031,P,0.0205631129
25031,S,0.1600759253
25031,T,0.4788041759
25031,Z,0.3405567858
25037,P,0.0117025293
25037,S,0.1436391091
25037,T,0.5118912797
25037,Z,0.3327670819
25043,P,0.0197183099
25043,S,0.1577464789
25043,T,0.4600938967
25043,Z,0.3624413146
25044,P,0.0145348837
25044,S,0.1762354651
25044,T,0.4393168605
25044,Z,0.3699127907
25048,P,0.0201781494
25048,S,0.118887475
25048,T,0.474095619
25048,Z,0.3868387566
25050,P,0.0046296296
25050,S,0.1007834758
25050,T,0.5434472934
25050,Z,0.3511396011
25068,P,0.0094833224
25068,S,0.1396337475
25068,T,0.4480052322
25068,Z,0.4028776978
25072,P,0.0088216176
25072,S,0.1237812239
25072,T,0.4617884669
25072,Z,0.4056086916
25084,P,0.0244382022
25084,S,0.1581460674
25084,T,0.4640449438
25084,Z,0.3533707865
25091,P,0.0024916944
25091,S,0.1231608923
25091,T,0.5183910774
25091,Z,0.355956336
25105,P,0.0048371493
25105,S,0.1776846179
25105,T,0.4750080619
25105,Z,0.3424701709
25107,P,0.0162150155
25107,S,0.16814749
25107,T,0.4264771213
25107,Z,0.3891603732
25110,P,0.0015319801
25110,S,0.1013979318
25110,T,0.5686518575
25110,Z,0.3284182306
25112,P,0.003257329
25112,S,0.1437769866
25112,T,0.5081433225
25112,Z,0.3448223619
25117,P,0.0191275168
25117,S,0.1553691275
25117,T,0.4261744966
25117,Z,0.3993288591
25118,P,0.022945966
25118,S,0.126572909
25118,T,0.4167283494
25118,Z,0.4337527757
25119,P,0.0102135562
25119,S,0.1151346332
25119,T,0.6066852368
25119,Z,0.2679665738
25120,P,0.0199831129
25120,S,0.1286236983
25120,T,0.4407542921
25120,Z,0.4106388967
25121,P,0.0034448819
25121,S,0.1053969816
25121,T,0.4455380577
25121,Z,0.4456200787
25122,P,0.0262042389
25122,S,0.1549132948
25122,T,0.4416184971
25122,Z,0.3772639692
25123,P,0.0223678265
25123,S,0.1701310438
25123,T,0.4679168549
25123,Z,0.3395842747
25124,P,0.02670829
25124,S,0.1644120708
25124,T,0.4394727714
25124,Z,0.3694068678
31003,P,0.0344485398
31003,S,0.2486532464
31003,T,0.3612134959
31003,Z,0.3556847179
31004,P,0.0047117517
31004,S,0.1294345898
31004,T,0.5411585366
31004,Z,0.324695122
31005,P,0.0047479484
31005,S,0.1496092224
31005,T,0.4278038296
31005,Z,0.4178389996
31006,P,0.0446446446
31006,S,0.2048048048
31006,T,0.427027027
31006,Z,0.3235235235
31012,P,0.0312649545
31012,S,0.2105598979
31012,T,0.3928856277
31012,Z,0.3652895199
31022,P,0.0242624224
31022,S,0.2350543478
31022,T,0.3958656832
31022,Z,0.3448175466
31033,P,0.0199371546
31033,S,0.2471557048
31033,T,0.3589771373
31033,Z,0.3739300033
31040,P,0.0227493681
31040,S,0.2608399767
31040,T,0.3648648649
31040,Z,0.3515457904
31042,P,0.0696812454
31042,S,0.1727205337
31042,T,0.4388435878
31042,Z,0.3187546331
31043,P,0.0114637109
31043,S,0.1368053447
31043,T,0.5848770118
31043,Z,0.2668539326
32003,P,0.0680763984
32003,S,0.224420191
32003,T,0.3776261937
32003,Z,0.3298772169
32006,P,0.0622576967
32006,S,0.3060433295
32006,T,0.3352337514
32006,Z,0.2964652223
32010,P,0.0555698482
32010,S,0.2832518652
32010,T,0.3591458709
32010,Z,0.3020324157
32011,P,0.0531165312
32011,S,0.3091237579
32011,T,0.3430894309
32011,Z,0.29467028
32030,P,0.1617842876
32030,S,0.2390146471
32030,T,0.3335552597
32030,Z,0.2656458056
33011,P,0.031208675
33011,S,0.259785771
33011,T,0.3634620471
33011,Z,0.345543507
33016,P,0.0264550265
33016,S,0.2804232804
33016,T,0.3439153439
33016,Z,0.3492063492
33021,P,0.0597949886
33021,S,0.2649202733
33021,T,0.3353075171
33021,Z,0.339977221
33029,P,0.0271780544
33029,S,0.2858775718
33029,T,0.3528067056
33029,Z,0.3341376683
33037,P,0.0607501321
33037,S,0.2993484768
33037,T,0.372072548
33037,Z,0.2678288431
33039,P,0.1105527638
33039,S,0.2423227247
33039,T,0.3341708543
33039,Z,0.3129536572
33040,P,0.0806988353
33040,S,0.3294509151
33040,T,0.3133666112
33040,Z,0.2764836384
33041,P,0.1072727273
33041,S,0.276969697
33041,T,0.3212121212
33041,Z,0.2945454545
34002,P,0.0208900999
34002,S,0.3442325159
34002,T,0.3651226158
34002,Z,0.2697547684
34003,P,0.0134821013
34003,S,0.3324035332
34003,T,0.3777312878
34003,Z,0.2763830776
34009,P,0.0157526254
34009,S,0.3343057176
34009,T,0.3695060288
34009,Z,0.2804356282
34013,P,0.0099805258
34013,S,0.3218922428
34013,T,0.3849399546
34013,Z,0.2831872769
34022,P,0.0071811566
34022,S,0.2345206179
34022,T,0.4235924933
34022,Z,0.3347057322
34023,P,0.0052020114
34023,S,0.3011964626
34023,T,0.3932720652
34023,Z,0.3003294607
34025,P,0.0296527507
34025,S,0.3269605931
34025,T,0.3690987124
34025,Z,0.2742879438
34027,P,0.008477673
34027,S,0.2720894541
34027,T,0.383541621
34027,Z,0.3358912519
34040,P,0.0081716037
34040,S,0.3165895572
34040,T,0.4032325903
34040,Z,0.2720062489
34041,P,0.0112107623
34041,S,0.289728139
34041,T,0.3727578475
34041,Z,0.3263032511
34042,P,0.0177096715
34042,S,0.3185905671
34042,T,0.3674986236
34042,Z,0.2962011378
34043,P,0.0278670954
34043,S,0.2593783494
34043,T,0.4169346195
34043,Z,0.2958199357
35002,P,0.0033674758
35002,S,0.157850428
35002,T,0.4224779009
35002,Z,0.4163041953
35005,P,0.0202909648
35005,S,0.2321975498
35005,T,0.373085758
35005,Z,0.3744257274
35006,P,0.0329755794
35006,S,0.2871364131
35006,T,0.3697309068
35006,Z,0.3101571006
35011,P,0.0255710386
35011,S,0.154288177
35011,T,0.4545323948
35011,Z,0.3656083896
35013,P,0.0033801045
35013,S,0.138191251
35013,T,0.4607161105
35013,Z,0.3977125339
35014,P,0.0245718541
35014,S,0.2519235542
35014,T,0.3852072475
35014,Z,0.3382973443
35029,P,0.0179826375
35029,S,0.1308391897
35029,T,0.488631666
35029,Z,0.3625465068
36006,P,0.0601471225
36006,S,0.2700129814
36006,T,0.3234530506
36006,Z,0.3463868455
36007,P,0.0297297297
36007,S,0.3542619543
36007,T,0.346985447
36007,Z,0.269022869
36008,P,0.0108865979
36008,S,0.3252783505
36008,T,0.3673402062
36008,Z,0.2964948454
36010,P,0.0317203056
36010,S,0.3176661264
36010,T,0.3736976152
36010,Z,0.2769159528
36011,P,0.0461109704
36011,S,0.2819863187
36011,T,0.3569799848
36011,Z,0.3149227261
36012,P,0.0396430054
36012,S,0.299916978
36012,T,0.3731838937
36012,Z,0.2872561229
36015,P,0.0118017004
36015,S,0.2630148686
36015,T,0.3837493692
36015,Z,0.3414340619
36019,P,0.0918509663
36019,S,0.3181908747
36019,T,0.3189878462
36019,Z,0.2709703128
37002,P,0.0385311611
37002,S,0.3478148435
37002,T,0.3840186191
37002,Z,0.2296353763
37007,P,0.0518720749
37007,S,0.3666146646
37007,T,0.3395085803
37007,Z,0.2420046802
37010,P,0.0254114929
37010,S,0.3759745885
37010,T,0.371643084
37010,Z,0.2269708345
37011,P,0.0840415486
37011,S,0.3204280768
37011,T,0.3556814605
37011,Z,0.2398489141
37012,P,0.0693877551
37012,S,0.3024489796
37012,T,0.3457142857
37012,Z,0.2824489796
37015,P,0.0525725815
37015,S,0.2944737137
37015,T,0.3573590405
37015,Z,0.2955946643
37017,P,0.017387218
37017,S,0.3688909774
37017,T,0.3851033835
37017,Z,0.2286184211
37018,P,0.0628063725
37018,S,0.3010110294
37018,T,0.3572303922
37018,Z,0.2789522059
37020,P,0.0576829859
37020,S,0.3291323316
37020,T,0.3589432865
37020,Z,0.254241396
38002,P,0.1335113485
38002,S,0.2260792167
38002,T,0.3449043169
38002,Z,0.2955051179
38008,P,0.0088726514
38008,S,0.1456158664
38008,T,0.5213987474
38008,Z,0.3241127349
38014,P,0.0089719626
38014,S,0.1368224299
38014,T,0.4872274143
38014,Z,0.3669781931
38016,P,0.0191774492
38016,S,0.1545748614
38016,T,0.4856746765
38016,Z,0.3405730129
38025,P,0.056374502
38025,S,0.1812749004
38025,T,0.3683266932
38025,Z,0.3940239044
41002,P,0.00466233
41002,S,0.178173595
41002,T,0.4557078645
41002,Z,0.3614562104
41011,P,0.0019641826
41011,S,0.1712305026
41011,T,0.4530329289
41011,Z,0.3737723859
41018,P,0.0080537853
41018,S,0.1726311366
41018,T,0.4545136214
41018,Z,0.3648014567
41024,P,0.0069171139
41024,S,0.2021466905
41024,T,0.4461538462
41024,Z,0.3447823494
41027,P,0.0121696374
41027,S,0.2045482483
41027,T,0.4163491088
41027,Z,0.3669330055
41034,P,0.0110864745
41034,S,0.2079329884
41034,T,0.4201773836
41034,Z,0.3608031535
41048,P,0.0080606352
41048,S,0.1786573628
41048,T,0.489653513
41048,Z,0.3236284889
41063,P,0.0232053784
41063,S,0.2439817827
41063,T,0.4137931034
41063,Z,0.3190197354
41081,P,0.0086843248
41081,S,0.1811550152
41081,T,0.408771168
41081,Z,0.401389492
41082,P,0.01003861
41082,S,0.2004412576
41082,T,0.4295642581
41082,Z,0.3599558742
42003,P,0.0142053862
42003,S,0.292690145
42003,T,0.3893163658
42003,Z,0.303788103
42004,P,0.0112066319
42004,S,0.2093951489
42004,T,0.4488793368
42004,Z,0.3305188824
42006,P,0.006789037
42006,S,0.2271058587
42006,T,0.4088006035
42006,Z,0.3573045009
42008,P,0.0121928166
42008,S,0.2860113422
42008,T,0.3913988658
42008,Z,0.3103969754
42010,P,0.0243355195
42010,S,0.2525025889
42010,T,0.4007594063
42010,Z,0.3224024853
42011,P,0.0138342278
42011,S,0.2175313059
42011,T,0.431842576
42011,Z,0.3367918903
42023,P,0.0128562246
42023,S,0.2215556032
42023,T,0.4536104564
42023,Z,0.3119777159
42025,P,0.0196042338
42025,S,0.2432581684
42025,T,0.4012885412
42025,Z,0.3358490566
42026,P,0.0184835911
42026,S,0.2546208978
42026,T,0.3923047906
42026,Z,0.3345907205
42028,P,0.0135857461
42028,S,0.3397550111
42028,T,0.3583518931
42028,Z,0.2883073497
43002,P,0.0479285134
43002,S,0.3047928513
43002,T,0.3301380991
43002,Z,0.3171405361
43005,P,0.0133016627
43005,S,0.290023753
43005,T,0.343824228
43005,Z,0.3528503563
43007,P,0.0581955923
43007,S,0.2964876033
43007,T,0.330922865
43007,Z,0.3143939394
43010,P,0.0332658374
43010,S,0.2885931926
43010,T,0.3641886028
43010,Z,0.3139523672
43014,P,0.0745614035
43014,S,0.2695681511
43014,T,0.3248987854
43014,Z,0.3309716599
43018,P,0.0075486691
43018,S,0.3557806913
43018,T,0.3675009932
43018,Z,0.2691696464
44012,P,0.009283247
44012,S,0.1439982729
44012,T,0.4453799655
44012,Z,0.4013385147
44013,P,0.0125634518
44013,S,0.1974619289
44013,T,0.4215736041
44013,Z,0.3684010152
44019,P,0.023561246
44019,S,0.2909846885
44019,T,0.3682682154
44019,Z,0.3171858501
44020,P,0.0129172958
44020,S,0.2424089918
44020,T,0.3959067271
44020,Z,0.3487669854
44021,P,0.0065444522
44021,S,0.1639582851
44021,T,0.4371771147
44021,Z,0.392320148
44034,P,0.0541944336
44034,S,0.235495884
44034,T,0.4035672285
44034,Z,0.3067424539
44040,P,0.0079591837
44040,S,0.1789795918
44040,T,0.4095918367
44040,Z,0.4034693878
44043,P,0.011369939
44043,S,0.1829358477
44043,T,0.4177297097
44043,Z,0.3879645036
44045,P,0.0376584638
44045,S,0.2774049217
44045,T,0.3780760626
44045,Z,0.3068605518
44048,P,0.0225276823
44048,S,0.2119129439
44048,T,0.4339442535
44048,Z,0.3316151203
44052,P,0.0217426059
44052,S,0.1897681855
44052,T,0.3878497202
44052,Z,0.4006394884
44064,P,0.006993007
44064,S,0.1406993007
44064,T,0.5317482517
44064,Z,0.3205594406
44073,P,0.0303236797
44073,S,0.3110732538
44073,T,0.3492333901
44073,Z,0.3093696763
44081,P,0.0143904426
44081,S,0.3127884876
44081,T,0.4037469454
44081,Z,0.2690741244
44083,P,0.0248906478
44083,S,0.2266194543
44083,T,0.4161632993
44083,Z,0.3323265986
44084,P,0.0331003763
44084,S,0.2750940788
44084,T,0.3857614623
44084,Z,0.3060440826
44085,P,0.026430947
44085,S,0.2592333275
44085,T,0.3634692806
44085,Z,0.350866445
45035,P,0.0106642968
