CD_REFNIS,NBRE_OF_DECL,MEDIAN_DECL
45068,8739,28108.57
46003,27326,27551.05
46013,9280,27297.715
46014,22759,26417.13
46020,10723,27721.5
46021,42842,24780.86
46024,10313,26913.56
46025,16512,26216.46
51004,17000,24179.235
51008,7983,23197.84
51009,6844,22059.455
51012,2028,23545.385
51014,3715,26323.21
51017,3398,24846.275
51019,2037,24630.43
51065,6551,25171.75
51067,7787,24584.04
51068,4557,27796.96
51069,10642,22823.175
52010,8760,20876.905
52011,112182,19099.41
52012,20307,19862.93
52015,17680,21746.435
52018,5745,18932.94
52021,12980,22008.655
52022,10110,21228.735
52025,7500,26266.705
52048,5966,26833.65
52055,9681,25733.71
52074,5965,22160.5
52075,5371,25846.9
53014,11486,19401.295
53020,9638,19986.17
53028,12515,21048.08
53039,3874,21559.24
53044,5410,29473.46
53046,2444,25463.63
53053,53960,21372.31
53065,10741,19569.91
53068,3909,19844.65
53070,13787,22682.52
53082,11396,19095.205
53083,2967,24716.24
53084,4661,24723.47
55004,12120,24717.665
55035,4796,25238.78
55040,14970,23954.23
55050,6167,24128.32
55085,6428,24315.77
55086,12827,20792.59
56001,6956,21527.125
56005,4057,21866.47
56016,5568,20627.545
56022,5621,21322.89
56029,2274,20559.475
56044,3335,25059.07
56049,2341,22532.99
56051,2935,19884.38
56078,8470,24630.24
56086,7886,28020.345
56088,2734,22312.19
57003,4500,22204.675
57018,3172,24353.34
57027,5758,23028.81
57062,3165,23370.42
57064,9708,21963.705
57072,2922,24341.075
57081,40931,22087.98
57093,4529,23470.81
57094,8028,23562.395
57095,2061,25476.63
57096,32348,21695.195
57097,10279,22082.35
58001,45102,20482.485
58002,19607,21135.93
58003,4310,23871.015
58004,11091,21050.65
61003,8175,23285.65
61010,1728,28803.135
61012,2496,25694.39
61019,2763,25548.51
61024,2267,23281.46
61028,2763,28748.08
61031,12736,20968.58
61039,3016,26151.96
61041,2290,27215.285
61043,3293,28570.85
61048,1562,25575.515
61063,2255,29206.42
61068,3566,26284.565
61072,7816,25391.71
61079,2351,26437.99
61080,3400,22245.32
61081,1510,26127.265
62003,16165,22602.53
62006,5416,25460.43
62009,7185,23025.6
62011,5222,24655.605
62015,6761,22439.64
62022,12365,26732.01
62026,3155,22196.44
62027,4177,27669.11
62032,7770,25815.505
62038,9553,22783.42
62051,22542,20769.445
62060,5231,27322.2
62063,113811,19202.22
62079,14647,23370.01
62093,13298,20629.765
62096,36321,20021.42
62099,9363,25104.51
62100,8341,25971.2
62108,10034,23555.76
62118,12659,22120.06
62119,7583,26281.42
62120,15111,22321.14
62121,5774,30100.92
62122,4702,23850.79
63001,3057,24374.84
63003,2477,24063.93
63004,2517,25747.87
63012,3090,24378.66
63013,3301,23765.09
63020,7638,19253.45
63023,11107,23432.09
63035,9816,25518.155
63038,4864,27682
63040,5957,22952.03
63045,1985,24502.62
63046,3386,23183.19
63048,3159,25510.57
63049,7328,23590.245
63057,2290,30075.91
63058,5541,23160.5
63061,5810,25523.02
63067,5534,25135.855
63072,6497,21359.3
63073,4016,23971.1
63075,1784,25445.945
63076,6938,25715.585
63079,30021,19880.04
63080,4168,23877.235
63084,5623,24767.68
63086,1475,23629.58
63087,2142,26037.84
63088,5788,23906.7
63089,3091,27616.27
64008,1639,27302.69
64015,3431,27812.6
64021,1853,27695.53
64023,1741,28511.95
64025,1843,27163.25
64029,1807,28039.09
64034,9310,25472.51
64047,1815,26564.3
64056,2210,25354.98
64063,3301,27475.79
64065,3992,24110.695
64074,9020,24317.43
64075,1605,23973.06
64076,2099,28932.4
71002,4599,26144.08
71004,24724,26178.355
71011,10880,26744.945
71016,37288,23028.615
71017,4635,27571.23
71020,5382,26085.575
71022,46776,25989.63
71024,7216,26700.98
71034,8913,26069.97
71037,8269,27710.57
71045,3968,26257.3
71053,24287,24508.98
71057,10521,27676.18
71066,11957,26736.39
71067,4162,27105.05
71069,6068,27145.97
71070,18202,25546.655
72003,7326,26036.37
72004,9159,25832.72
72018,6772,25713.61
72020,19088,26653
72021,14229,25324.09
72030,9183,27124.13
72037,8042,25211.15
72038,6773,27471.1
72039,16854,25297.905
72041,11382,25167.63
72042,12859,27229.19
72043,18125,26863.52
73001,6509,26870
73006,18427,25487.43
73009,6206,25747.605
73022,4129,25447.78
73028,51,23293.78
73032,5555,25613.43
73040,4795,27336.19
73042,14728,24883.25
73066,9309,25939.58
73083,18296,24356.445
73098,4215,26849.16
73107,21175,23177.89
73109,2370,24310.83
81001,15863,29278.84
81003,2622,34774.605
81004,8622,26388.485
81013,933,27637.34
81015,4207,32059.32
82003,8673,24525.36
82005,1815,26788.85
82009,1122,28822.175
82014,2961,24176.47
82032,4469,23057.65
82036,2816,26272.65
82037,2833,23393.12
82038,1341,23498.76
83012,6677,22037.67
83013,1870,23074.3
83028,3126,22876.42
83031,2510,21265.355
83034,10035,22797.71
83040,2991,24624.86
83044,1466,23579.34
83049,1575,24995.71
83055,1958,24528.385
84009,4851,23142.68
84010,3306,20378.67
84016,761,21497.9
84029,898,23683.66
84033,2583,28689.54
84035,2796,24641.87
84043,3970,25246.015
84050,2953,22729.22
84059,3156,23697.345
84068,1336,23851.075
84075,1737,22568.27
84077,6112,24805.75
85007,2843,24584.48
85009,2994,30038.465
85011,3323,21360.91
85024,1514,25186.2
85026,2277,28730.88
85034,1830,29404.41
85039,2204,26699.405
85045,6245,24229.81
85046,4268,29228.735
85047,1183,23453.31
91005,4009,23719.4
91013,5119,22663.04
91015,1829,22344.58
91030,9599,23101.33
91034,8066,19851.7
91054,2555,22645.4
91059,3858,27039.53
91064,2831,23753.63
91072,2816,22660.85
91103,1756,24079.145
91114,7246,22494.69
91120,3121,24090.45
91141,5086,25871.69
91142,3646,19352.87
91143,1597,20185.58
92003,15411,22810.24
92006,3750,28430.62
92035,8861,26866.35
92045,4439,27580.9
92048,5831,24148.82
92054,3966,26486.295
92087,7343,24586.51
92094,64660,22793.505
92097,2796,25728.715
92101,6954,26057.73
92114,4576,25531.535
92137,16193,21970.31
92138,4267,27514.29
92140,10607,24126.82
92141,4807,30383.21
92142,14463,26836.27
93010,2794,23073.355
93014,8029,20420.08
93018,1710,21523.315
93022,6361,23747.94
93056,5329,22985.07
93088,10315,25563.23
93090,3480,19790.37
