CD_REFNIS,AGE_MEDIAN,TX_DESCR_NL,TX_DESCR_FR
24007,47,Begijnendijk,Begijnendijk
24008,44,Bekkevoort,Bekkevoort
24009,42,Bertem,Bertem
24011,44,Bierbeek,Bierbeek
24014,44,Boortmeerbeek,Boortmeerbeek
24016,42,Boutersem,Boutersem
24020,45,Diest,Diest
24028,45,Geetbets,Geetbets
24033,44,Haacht,Haacht
24038,41,Herent,Herent
24041,42,Hoegaarden,Hoegaarden
24043,44,Holsbeek,Holsbeek
24045,43,Huldenberg,Huldenberg
24048,48,Keerbergen,Keerbergen
24054,46,Kortenaken,Kortenaken
24055,42,Kortenberg,Kortenberg
24059,44,Landen,Landen
24062,36,Leuven,Louvain
24066,45,Lubbeek,Lubbeek
24086,44,Oud-Heverlee,Oud-Heverlee
24094,43,Rotselaar,Rotselaar
24104,42,Tervuren,Tervuren
24107,44,Tienen,Tirlemont
24109,47,Tremelo,Tremelo
24130,46,Zoutleeuw,Léau
24133,45,Linter,Linter
24134,47,Scherpenheuvel-Zichem,Montaigu-Zichem
24135,45,Tielt-Winge,Tielt-Winge
24137,46,Glabbeek,Glabbeek
25000,42,Arrondissement Nijvel,Arrondissement de Nivelles
25005,42,Bevekom,Beauvechain
25014,42,Eigenbrakel,Braine-l’Alleud
25015,42,Kasteelbrakel,Braine-le-Château
25018,43,5,Chaumont-Gistoux,Chaumont-Gistoux
25023,40,Court-Saint-Etienne,Court-Saint-Etienne
25031,41,Genepiën,Genappe
25037,42,Graven,Grez-Doiceau
25043,40,Incourt,Incourt
25044,42,Itter,Ittre
25048,41,Geldenaken,Jodoigne
25050,45,Terhulpen,La Hulpe
25068,38,Mont-Saint-Guibert,Mont-Saint-Guibert
25072,42,Nijvel,Nivelles
25084,39,Perwijs (Nijvel),Perwez (Nivelles)
25091,44,Rixensart,Rixensart
25105,40,Tubeke,Tubize
25107,40,Villers-la-Ville,Villers-la-Ville
25110,45,Waterloo,Waterloo
25112,43,Waver,Wavre
25117,40,Chastre,Chastre
25118,40,Hélécine,Hélécine
25119,46,Lasne,Lasne
25120,41,Orp-Jauche,Orp-Jauche
25121,38,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
25122,40,Ramillies,Ramillies
25123,41,Rebecq,Rebecq
25124,39,Walhain,Walhain
30000,45,Provincie West-Vlaanderen,Province de Flandre occidentale
31000,47,Arrondissement Brugge,Arrondissement de Bruges
31003,44,Beernem,Beernem
31004,54,Blankenberge,Blankenberge
31005,46,Brugge,Bruges
31006,47,Damme,Damme
31012,46,Jabbeke,Jabbeke
31022,44,Oostkamp,Oostkamp
31033,45,Torhout,Torhout
31040,44,Zedelgem,Zedelgem
31042,48,Zuienkerke,Zuienkerke
31043,56,Knokke-Heist,Knokke-Heist
32000,43,Arrondissement Diksmuide,Arrondissement de Dixmude
32003,44,Diksmuide,Dixmude
32006,41,Houthulst,Houthulst
32010,44,Koekelare,Koekelare
32011,43,Kortemark,Kortemark
32030,42,Lo-Reninge,Lo-Reninge
33000,44,Arrondissement Ieper,Arrondissement d’Ypres
33011,46,Ieper,Ypres
33016,37,Mesen,Messines
33021,44,Poperinge,Poperinge
33029,42,Wervik,Wervik
33037,42,Zonnebeke,Zonnebeke
33039,44,Heuvelland,Heuvelland
33040,42,Langemark-Poelkapelle,Langemark-Poelkapelle
33041,41,Vleteren,Vleteren
34000,43,Arrondissement Kortrijk,Arrondissement de Courtrai
34002,43,Anzegem,Anzegem
34003,42,Avelgem,Avelgem
34009,42,Deerlijk,Deerlijk
34013,43,Harelbeke,Harelbeke
34022,42,Kortrijk,Courtrai
34023,43,Kuurne,Kuurne
34025,45,Lendelede,Lendelede
34027,43,Menen,Menin
34040,44,Waregem,Waregem
34041,43,Wevelgem,Wevelgem
34042,43,Zwevegem,Zwevegem
34043,41,Spiere-Helkijn,Espierres-Helchin
35000,49,Arrondissement Oostende,Arrondissement d’Ostende
35002,46,Bredene,Bredene
35005,43,Gistel,Gistel
35006,43,Ichtegem,Ichtegem
35011,55,Middelkerke,Middelkerke
35013,49,Oostende,Ostende
35014,45,Oudenburg,Oudenburg
35029,55,De Haan,De Haan
36000,43,Arrondissement Roeselare,Arrondissement de Roulers
36006,44,Hooglede,Hooglede
36007,43,Ingelmunster,Ingelmunster
36008,43,Izegem,Izegem
36010,43,Ledegem,Ledegem
36011,43,Lichtervelde,Lichtervelde
36012,43,Moorslede,Moorslede
36015,42,Roeselare,Roulers
36019,42,Staden,Staden
37000,43,Arrondissement Tielt,Arrondissement de Tielt
37002,42,Dentergem,Dentergem
37007,44,Meulebeke,Meulebeke
37010,42,Oostrozebeke,Oostrozebeke
37011,43,Pittem,Pittem
37012,44,Ruiselede,Ruiselede
37015,44,Tielt (Tielt),Tielt (Tielt)
37017,40,Wielsbeke,Wielsbeke
37018,43,Wingene,Wingene
37020,45,Ardooie,Ardooie
38000,54,Arrondissement Veurne,Arrondissement de Furnes
38002,40,Alveringem,Alveringem
38008,52,De Panne,La Panne
38014,60,Koksijde,Koksijde
38016,56,Nieuwpoort,Nieuport
38025,47,Veurne,Furnes
40000,42,Provincie Oost-Vlaanderen,Province de Flandre orientale
41000,44,Arrondissement Aalst,Arrondissement d’Alost
41002,43,Aalst (Aalst),Alost (Alost)
41011,41,Denderleeuw,Denderleeuw
41018,44,Geraardsbergen,Grammont
41024,44,Haaltert,Haaltert
41027,44,Herzele,Herzele
41034,44,Lede,Lede
41048,44,Ninove,Ninove
41063,44,Sint-Lievens-Houtem,Sint-Lievens-Houtem
41081,45,Zottegem,Zottegem
