CD_REFNIS,MALE,FEMALE,TOTAL,TX_DESCR_NL,TX_DESCR_FR
23000,310532,326909,637441,Arrondissement Halle-Vilvoorde,Arrondissement de Hal-Vilvorde
23002,16143,17015,33158,Asse,Asse
23003,12454,12797,25251,Beersel,Beersel
23009,1087,1072,2159,Bever,Biévène
23016,20631,22216,42847,Dilbeek,Dilbeek
23023,4304,4442,8746,Galmaarden,Gammerages
23024,4518,4652,9170,Gooik,Gooik
23025,18047,19495,37542,Grimbergen,Grimbergen
23027,19144,20396,39540,Halle (Halle-Vilvoorde),Hal (Hal-Vilvorde)
23032,3278,3387,6665,Herne,Herne
23033,5554,5767,11321,Hoeilaart,Hoeilaart
23038,5886,6086,11972,Kampenhout,Kampenhout
23039,4568,4845,9413,Kapelle-op-den-Bos,Kapelle-op-den-Bos
23044,6504,6791,13295,Liedekerke,Liedekerke
23045,9199,9550,18749,Londerzeel,Londerzeel
23047,7497,7972,15469,Machelen (Halle-Vilvoorde),Machelen (Hal-Vilvorde)
23050,9452,9959,19411,Meise,Meise
23052,8117,8466,16583,Merchtem,Merchtem
23060,7143,7404,14547,Opwijk,Opwijk
23062,12422,12981,25403,Overijse,Overijse
23064,2224,2255,4479,Pepingen,Pepingen
23077,16733,17495,34228,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw
23081,5940,6195,12135,Steenokkerzeel,Steenokkerzeel
23086,7732,8014,15746,Ternat,Ternat
23088,21758,22969,44727,Vilvoorde,Vilvorde
23094,16773,17595,34368,Zaventem,Zaventem
23096,11449,11909,23358,Zemst,Zemst
23097,5740,5891,11631,Roosdaal,Roosdaal
23098,2680,3009,5689,Drogenbos,Drogenbos
23099,6671,7059,13730,Kraainem,Kraainem
23100,2206,2465,4671,Linkebeek,Linkebeek
23101,8873,9514,18387,Sint-Genesius-Rode,Rhode-Saint-Genèse
23102,7995,8496,16491,Wemmel,Wemmel
23103,6867,7391,14258,Wezembeek-Oppem,Wezembeek-Oppem
23104,4450,4624,9074,Lennik,Lennik
23105,6493,6735,13228,Affligem,Affligem
24000,251482,257252,508734,Arrondissement Leuven,Arrondissement de Louvain
24001,14725,15390,30115,Aarschot,Aarschot
24007,4951,5163,10114,Begijnendijk,Begijnendijk
24008,3186,3120,6306,Bekkevoort,Bekkevoort
24009,4904,5103,10007,Bertem,Bertem
24011,5037,5046,10083,Bierbeek,Bierbeek
24014,6211,6305,12516,Boortmeerbeek,Boortmeerbeek
24016,4080,4162,8242,Boutersem,Boutersem
24020,11771,12227,23998,Diest,Diest
24028,3062,3056,6118,Geetbets,Geetbets
24033,7123,7454,14577,Haacht,Haacht
24038,10588,11094,21682,Herent,Herent
24041,3492,3394,6886,Hoegaarden,Hoegaarden
24043,5003,5016,10019,Holsbeek,Holsbeek
24045,4880,5041,9921,Huldenberg,Huldenberg
24048,6269,6581,12850,Keerbergen,Keerbergen
24054,3952,3923,7875,Kortenaken,Kortenaken
24055,9965,10314,20279,Kortenberg,Kortenberg
24059,7780,8171,15951,Landen,Landen
24062,51012,50612,101624,Leuven,Louvain
24066,7237,7322,14559,Lubbeek,Lubbeek
24086,5543,5569,11112,Oud-Heverlee,Oud-Heverlee
24094,8334,8459,16793,Rotselaar,Rotselaar
24104,10898,11524,22422,Tervuren,Tervuren
24107,16895,18080,34975,Tienen,Tirlemont
24109,7418,7496,14914,Tremelo,Tremelo
24130,4164,4316,8480,Zoutleeuw,Léau
24133,3607,3662,7269,Linter,Linter
24134,11393,11636,23029,Scherpenheuvel-Zichem,Montaigu-Zichem
24135,5388,5359,10747,Tielt-Winge,Tielt-Winge
24137,2614,2657,5271,Glabbeek,Glabbeek
25000,195916,207683,403599,Arrondissement Nijvel,Arrondissement de Nivelles
25005,3585,3658,7243,Bevekom,Beauvechain
25014,19255,20753,40008,Eigenbrakel,Braine-l’Alleud
25015,5149,5400,10549,Kasteelbrakel,Braine-le-Château
25018,5785,6013,11798,Chaumont-Gistoux,Chaumont-Gistoux
25023,5156,5384,10540,Court-Saint-Etienne,Court-Saint-Etienne
25031,7611,7816,15427,Genepiën,Genappe
25037,6691,6977,13668,Graven,Grez-Doiceau
