CD_REFNIS,MS_SEX,<65 year,>=65year,TOTAL,,TX_DESCR_FR
12009,VROUW,6906,2011,8917,Duffel,Duffel
12014,TOTAL,33577,9104,42681,Heist-op-den-Berg,Heist-op-den-Berg
12014,MAN,16856,4212,21068,Heist-op-den-Berg,Heist-op-den-Berg
12014,VROUW,16721,4892,21613,Heist-op-den-Berg,Heist-op-den-Berg
12021,TOTAL,28677,7565,36242,Lier,Lierre
12021,MAN,14233,3380,17613,Lier,Lierre
12021,VROUW,14444,4185,18629,Lier,Lierre
12025,TOTAL,71737,14879,86616,Mechelen,Malines
12025,MAN,35956,6433,42389,Mechelen,Malines
12025,VROUW,35781,8446,44227,Mechelen,Malines
12026,TOTAL,18191,4758,22949,Nijlen,Nijlen
12026,MAN,9105,2254,11359,Nijlen,Nijlen
12026,VROUW,9086,2504,11590,Nijlen,Nijlen
12029,TOTAL,13980,3820,17800,Putte,Putte
12029,MAN,7046,1761,8807,Putte,Putte
12029,VROUW,6934,2059,8993,Putte,Putte
12035,TOTAL,16431,4361,20792,Sint-Katelijne-Waver,Sint-Katelijne-Waver
12035,MAN,8278,1927,10205,Sint-Katelijne-Waver,Sint-Katelijne-Waver
12035,VROUW,8153,2434,10587,Sint-Katelijne-Waver,Sint-Katelijne-Waver
12040,TOTAL,21722,4740,26462,Willebroek,Willebroek
12040,MAN,10954,2118,13072,Willebroek,Willebroek
12040,VROUW,10768,2622,13390,Willebroek,Willebroek
12041,TOTAL,20633,5249,25882,Puurs-Sint-Amands,Puurs-Sint-Amands
12041,MAN,10440,2412,12852,Puurs-Sint-Amands,Puurs-Sint-Amands
12041,VROUW,10193,2837,13030,Puurs-Sint-Amands,Puurs-Sint-Amands
13000,TOTAL,369838,92029,461867,Arrondissement Turnhout,Arrondissement de Turnhout
13000,MAN,187960,43388,231348,Arrondissement Turnhout,Arrondissement de Turnhout
13000,VROUW,181878,48641,230519,Arrondissement Turnhout,Arrondissement de Turnhout
13001,TOTAL,10759,2534,13293,Arendonk,Arendonk
13001,MAN,5496,1160,6656,Arendonk,Arendonk
13001,VROUW,5263,1374,6637,Arendonk,Arendonk
13002,TOTAL,2204,556,2760,Baarle-Hertog,Baerle-Duc
13002,MAN,1109,271,1380,Baarle-Hertog,Baerle-Duc
13002,VROUW,1095,285,1380,Baarle-Hertog,Baerle-Duc
13003,TOTAL,18255,4363,22618,Balen,Balen
13003,MAN,9228,2041,11269,Balen,Balen
13003,VROUW,9027,2322,11349,Balen,Balen
13004,TOTAL,14773,3311,18084,Beerse,Beerse
13004,MAN,7462,1545,9007,Beerse,Beerse
13004,VROUW,7311,1766,9077,Beerse,Beerse
13006,TOTAL,7693,1905,9598,Dessel,Dessel
13006,MAN,3924,888,4812,Dessel,Dessel
13006,VROUW,3769,1017,4786,Dessel,Dessel
13008,TOTAL,32412,7941,40353,Geel,Geel
13008,MAN,16558,3698,20256,Geel,Geel
13008,VROUW,15854,4243,20097,Geel,Geel
13010,TOTAL,8767,2388,11155,Grobbendonk,Grobbendonk
13010,MAN,4447,1145,5592,Grobbendonk,Grobbendonk
13010,VROUW,4320,1243,5563,Grobbendonk,Grobbendonk
13011,TOTAL,22317,5860,28177,Herentals,Herentals
13011,MAN,11239,2618,13857,Herentals,Herentals
13011,VROUW,11078,3242,14320,Herentals,Herentals
13012,TOTAL,7122,1939,9061,Herenthout,Herenthout
13012,MAN,3560,934,4494,Herenthout,Herenthout
13012,VROUW,3562,1005,4567,Herenthout,Herenthout
13013,TOTAL,11330,3193,14523,Herselt,Herselt
13013,MAN,5781,1538,7319,Herselt,Herselt
13013,VROUW,5549,1655,7204,Herselt,Herselt
13014,TOTAL,17290,4065,21355,Hoogstraten,Hoogstraten
13014,MAN,8897,1999,10896,Hoogstraten,Hoogstraten
13014,VROUW,8393,2066,10459,Hoogstraten,Hoogstraten
13016,TOTAL,8418,2006,10424,Hulshout,Hulshout
13016,MAN,4261,952,5213,Hulshout,Hulshout
13016,VROUW,4157,1054,5211,Hulshout,Hulshout
13017,TOTAL,14786,3869,18655,Kasterlee,Kasterlee
13017,MAN,7564,1854,9418,Kasterlee,Kasterlee
13017,VROUW,7222,2015,9237,Kasterlee,Kasterlee
13019,TOTAL,13424,3105,16529,Lille,Lille
13019,MAN,6833,1525,8358,Lille,Lille
13019,VROUW,6591,1580,8171,Lille,Lille
13021,TOTAL,8250,2111,10361,Meerhout,Meerhout
13021,MAN,4209,1025,5234,Meerhout,Meerhout
13021,VROUW,4041,1086,5127,Meerhout,Meerhout
