node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
33,29,0.08226914921,707831.681993947,724688.013825838,697353.723004026,695353.545273836,0.08226914921,0,2020.1609002497,2020.24316939891,4645000,Limburg,Antwerpen,3900,2430
33,34,0.000064692527990004,707831.681993947,724688.013825838,707838.595170382,724695.098017712,0.000064692527990004,0,2020.1609002497,2020.16096494223,4645000,Limburg,Limburg,3900,3900
34,30,0.07673997581,707838.595170382,724695.098017712,707891.200844632,724593.368594803,0.07680466833799,0.000064692527990004,2020.16096494223,2020.23770491804,4645000,Limburg,Limburg,3900,3900
34,35,0.0000478446596999943,707838.595170382,724695.098017712,707814.012048865,724639.214225161,0.000112537187689998,0.000064692527990004,2020.16096494223,2020.16101278689,4645000,Limburg,Limburg,3900,3900
35,31,0.06849540984,707814.012048865,724639.214225161,662980.332399126,613182.421859925,0.06860794702769,0.000112537187689998,2020.16101278689,2020.22950819673,4645000,Limburg,Oost-Vlaanderen,3900,9500
35,32,0.08215661202,707814.012048865,724639.214225161,717075.024161716,670568.901970321,0.08226914920769,0.000112537187689998,2020.16101278689,2020.24316939891,4645000,Limburg,Antwerpen,3900,2980
41,42,0.0028,669117.748328871,660813.326283281,668295.011816649,660540.119408316,0.0028,0,2020.22118278689,2020.22398278689,4645000,VlaamsBrabant,VlaamsBrabant,3080,3080
41,43,0.00533,669117.748328871,660813.326283281,677033.499812003,672449.171201865,0.00533,0,2020.22118278689,2020.22651278689,4645000,VlaamsBrabant,VlaamsBrabant,3080,3020
42,36,0.0000609289614231547,668295.011816649,660540.119408316,703864.293840675,648161.407649545,0.00286092896142316,0.0028,2020.22398278689,2020.22404371585,4645000,VlaamsBrabant,Antwerpen,3080,2620
42,37,0.00279316939865316,668295.011816649,660540.119408316,668772.515582025,660983.165944161,0.00559316939865316,0.0028,2020.22398278689,2020.22677595629,4645000,VlaamsBrabant,VlaamsBrabant,3080,3080
43,38,0.00299540983565315,677033.499812003,672449.171201865,695033.162534956,685586.100058501,0.00832540983565315,0.00533,2020.22651278689,2020.22950819672,4645000,VlaamsBrabant,Antwerpen,3020,2230
43,44,0.01387,677033.499812003,672449.171201865,679170.216805352,675214.236735063,0.0192,0.00533,2020.22651278689,2020.24038278689,4645000,VlaamsBrabant,VlaamsBrabant,3020,3012
44,39,0.00278661202165316,679170.216805352,675214.236735063,713224.269232532,662318.084600783,0.0219866120216532,0.0192,2020.24038278689,2020.24316939891,4645000,VlaamsBrabant,Antwerpen,3012,2110
44,40,0.0000543715844031553,679170.216805352,675214.236735063,679261.738084961,675250.970946391,0.0192543715844032,0.0192,2020.24038278689,2020.24043715847,4645000,VlaamsBrabant,VlaamsBrabant,3012,3012
48,45,0.0262130054599446,640997.181881448,736479.16683825,642125.182166165,737654.457831407,0.0262130054599446,0,2020.17597278689,2020.20218579235,4645000,Liège,Liège,4130,4053
48,49,0.02343,640997.181881448,736479.16683825,641251.759160429,736803.746275736,0.02343,0,2020.17597278689,2020.19940278689,4645000,Liège,Liège,4130,4130
49,46,0.0546955737699446,641251.759160429,736803.746275736,640859.116188526,736679.270216458,0.0781255737699446,0.02343,2020.19940278689,2020.25409836066,4645000,Liège,Liège,4130,4130
49,47,0.0000507650271246163,641251.759160429,736803.746275736,651017.808199399,735942.822529624,0.0234807650271246,0.02343,2020.19940278689,2020.19945355192,4645000,Liège,Liège,4130,4000
58,50,0.0000616393386501379,643954.193803367,766313.559143061,644067.010500217,766130.379347285,0.0000616393386501379,0,2020.16387278689,2020.16393442622,4645000,Liège,Liège,4837,4837
58,59,0.00813,643954.193803367,766313.559143061,640757.040506208,771614.832316055,0.00813,0,2020.16387278689,2020.17200278689,4645000,Liège,Liège,4837,4837
59,60,0.0028,640757.040506208,771614.832316055,654015.647862579,760290.204081472,0.01093,0.00813,2020.17200278689,2020.17480278689,4645000,Liège,Liège,4837,4850
59,61,0.01086,640757.040506208,771614.832316055,639893.917038716,771733.772919249,0.01899,0.00813,2020.17200278689,2020.18286278689,4645000,Liège,Liège,4837,4837
60,51,0.00279284152434014,654015.647862579,760290.204081472,653957.485229848,760497.337814724,0.0137228415243401,0.01093,2020.17480278689,2020.17759562841,4645000,Liège,Liège,4850,4841
60,52,0.0000606010871601476,654015.647862579,760290.204081472,645378.973955078,760077.971830968,0.0109906010871601,0.01093,2020.17480278689,2020.17486338797,4645000,Liège,Liège,4850,4830
61,53,0.00292956283634013,639893.917038716,771733.772919249,651525.098779223,742253.58649542,0.0219195628363401,0.01899,2020.18286278689,2020.18579234972,4645000,Liège,Liège,4837,4671
61,62,0.01359,639893.917038716,771733.772919249,639287.681871531,771795.108952735,0.03258,0.01899,2020.18286278689,2020.19645278689,4645000,Liège,Liège,4837,4837
62,63,0.00294,639287.681871531,771795.108952735,639589.969300556,771066.346600572,0.03552,0.03258,2020.19645278689,2020.19939278689,4645000,Liège,Liège,4837,4837
62,64,0.00822,639287.681871531,771795.108952735,614362.496770583,779455.892641131,0.0408,0.03258,2020.19645278689,2020.20467278689,4645000,Liège,Liège,4837,4770
63,55,0.0000607650215201372,639589.969300556,771066.346600572,662087.710000271,755193.034201346,0.0355807650215201,0.03552,2020.19939278689,2020.19945355191,4645000,Liège,Limburg,4837,3793
63,54,0.0000607650215201372,639589.969300556,771066.346600572,639151.618062807,772839.649410064,0.0355807650215201,0.03552,2020.19939278689,2020.19945355191,4645000,Liège,Liège,4837,4837
64,56,0.00297748633334014,614362.496770583,779455.892641131,614258.951214717,778734.663002706,0.0437774863333401,0.0408,2020.20467278689,2020.20765027322,4645000,Liège,Liège,4770,4770
64,57,0.0603545355143401,614362.496770583,779455.892641131,650383.086033655,732686.7879305,0.10115453551434,0.0408,2020.20467278689,2020.2650273224,4645000,Liège,Liège,4770,4430
79,80,0.0000452279363500063,624011.24600451,782546.845361408,625900.53432551,782209.700471651,0.0000452279363500063,0,2020.22393755895,2020.22398278689,4645000,Liège,Liège,4760,4750
79,82,0.000575227936399997,624011.24600451,782546.845361408,624423.007635094,782303.219921908,0.000575227936399997,0,2020.22393755895,2020.22451278689,4645000,Liège,Liège,4760,4750
80,65,0.0000609289594916407,625900.53432551,782209.700471651,625941.705201844,782172.524895778,0.000106156895841647,0.0000452279363500063,2020.22398278689,2020.22404371585,4645000,Liège,Liège,4750,4750
80,81,0.0511,625900.53432551,782209.700471651,634489.191600359,780625.002292179,0.05114522793635,0.0000452279363500063,2020.22398278689,2020.27508278689,4645000,Liège,Liège,4750,4750
81,66,0.0336603825077216,634489.191600359,780625.002292179,642216.183229367,779925.675233015,0.0848056104440716,0.05114522793635,2020.27508278689,2020.3087431694,4645000,Liège,Liège,4750,4700
81,67,0.0172669398877216,634489.191600359,780625.002292179,642143.957857338,778645.559706252,0.0684121678240716,0.05114522793635,2020.27508278689,2020.29234972678,4645000,Liège,Liège,4750,4700
82,83,0.02908,624423.007635094,782303.219921908,659157.69742225,763396.122772676,0.0296552279364,0.000575227936399997,2020.22451278689,2020.25359278689,4645000,Liège,Liège,4750,4851
82,68,0.0842303825077216,624423.007635094,782303.219921908,643077.37830281,774371.732401279,0.0848056104441216,0.000575227936399997,2020.22451278689,2020.3087431694,4645000,Liège,Liège,4750,4700
83,84,0.00318,659157.69742225,763396.122772676,657203.449118025,764733.716823652,0.0328352279364,0.0296552279364,2020.25359278689,2020.25677278689,4645000,Liège,Liège,4851,4850
83,85,0.003,659157.69742225,763396.122772676,657617.36898086,764271.524878522,0.0326552279364,0.0296552279364,2020.25359278689,2020.25659278689,4645000,Liège,Liège,4851,4850
84,69,0.0000578142052316405,657203.449118025,764733.716823652,659885.666637367,766329.553133427,0.0328930421416316,0.0328352279364,2020.25677278689,2020.25683060109,4645000,Liège,Liège,4850,4720
84,70,0.0000578142052316405,657203.449118025,764733.716823652,657422.726801093,765543.237285145,0.0328930421416316,0.0328352279364,2020.25677278689,2020.25683060109,4645000,Liège,Liège,4850,4720
85,71,0.00297005464272164,657617.36898086,764271.524878522,655992.58263571,764946.756447866,0.0356252825791216,0.0326552279364,2020.25659278689,2020.25956284153,4645000,Liège,Liège,4850,4721
85,86,0.00291,657617.36898086,764271.524878522,621198.82006334,787696.338085594,0.0355652279364,0.0326552279364,2020.25659278689,2020.25950278689,4645000,Liège,Liège,4850,4760
86,72,0.0000600546423616399,621198.82006334,787696.338085594,621348.202574918,787745.767814272,0.0356252825787616,0.0355652279364,2020.25950278689,2020.25956284153,4645000,Liège,Liège,4760,4760
86,87,0.03279,621198.82006334,787696.338085594,643194.169947636,779439.939438619,0.0683552279364,0.0355652279364,2020.25950278689,2020.29229278689,4645000,Liège,Liège,4760,4700
