trait	location	collection_date	latitude	longitude
Shanghai/SH0065/2020	other	05/02/2020	NA	NA
Belgium/GHB-03021/2020	Belgium	03/02/2020	667809.393299469	564754.129220889
Shangrao/JX1948/2020	other	05/02/2020	NA	NA
Guangdong/GDSZ202015-P0019/2020	other	05/02/2020	NA	NA
Guangzhou/GZMU0048/2020	other	25/02/2020	NA	NA
Guangzhou/GZMU0044/2020	other	25/02/2020	NA	NA
Singapore/18/2020	other	01/03/2020	NA	NA
Nanchang/JXN3T4/2020	other	26/02/2020	NA	NA
Singapore/22/2020	other	02/03/2020	NA	NA
Taiwan/3/2020	other	24/01/2020	NA	NA
Hangzhou/ZJU-02/2020	other	26/01/2020	NA	NA
Nanchang/JX149/2020	other	27/01/2020	NA	NA
Taiwan/NTU01/2020	other	31/01/2020	NA	NA
Singapore/13/2020	other	18/02/2020	NA	NA
Spain/Valencia94/2020	other	17/03/2020	NA	NA
Spain/Valencia53/2020	other	20/03/2020	NA	NA
Spain/Madrid_R5_8/2020	other	03/03/2020	NA	NA
Spain/CastillaLaMancha201328/2020	other	01/03/2020	NA	NA
Spain/Valencia92/2020	other	16/03/2020	NA	NA
Spain/CastillaLaMancha201329/2020	other	01/03/2020	NA	NA
Spain/Madrid201449/2020	other	04/03/2020	NA	NA
Spain/Andalucia201617/2020	other	05/03/2020	NA	NA
Australia/VIC138/2020	other	23/02/2020	NA	NA
Mexico/Queretaro-InDRE_04/2020	other	10/03/2020	NA	NA
Portugal/PT0063/2020	other	20/03/2020	NA	NA
USA/MI-SC2-0004/2020	other	10/03/2020	NA	NA
Chile/Talca-1/2020	other	02/03/2020	NA	NA
Chile/Talca-2/2020	other	04/03/2020	NA	NA
Germany/NRW-39/2020	other	17/03/2020	NA	NA
Mexico/EdoMex-InDRE_03/2020	other	04/03/2020	NA	NA
Scotland/EDB551/2020	other	31/03/2020	NA	NA
Scotland/EDB222/2020	other	26/03/2020	NA	NA
Colombia/Antioquia79256/2020	other	11/03/2020	NA	NA
Uruguay/UY-5/2020	other	17/03/2020	NA	NA
Uruguay/UY-6/2020	other	17/03/2020	NA	NA
Uruguay/UY-1/2020	other	16/03/2020	NA	NA
Uruguay/UY-2/2020	other	16/03/2020	NA	NA
Uruguay/UY-9/2020	other	19/03/2020	NA	NA
Uruguay/UY-4/2020	other	17/03/2020	NA	NA
Shanghai/SH0069/2020	other	01/02/2020	NA	NA
Spain/Madrid_R10_33/2020	other	02/03/2020	NA	NA
Spain/Valencia10/2020	other	06/03/2020	NA	NA
Luxembourg/LNS3307371/2020	other	17/03/2020	NA	NA
Spain/Valencia15/2020	other	02/03/2020	NA	NA
Spain/Valencia67/2020	other	16/03/2020	NA	NA
Netherlands/NoordBrabant_46/2020	other	11/03/2020	NA	NA
Spain/PaisVasco201602/2020	other	04/03/2020	NA	NA
Brazil/RJ-352/2020	other	05/03/2020	NA	NA
France/GE1583/2020	other	25/02/2020	NA	NA
Australia/VIC338/2020	other	20/03/2020	NA	NA
Georgia/Tb-390/2020	other	08/03/2020	NA	NA
Spain/Valencia19/2020	other	08/03/2020	NA	NA
